section,question_number,question_text,question_instructions
1.3,Q16,Votre entité enregistre-t-elle la résidence pour les bénéficiaires effectifs détenant une participation de 25 % ou plus ?,
1.3,Q17,"Veuillez indiquer le nombre total de bénéficiaires effectifs des résidents étrangers, par nationalité principale du bénéficiaire effectif, pour les bénéficiaires effectifs détenant 25%.",
1.3,Q18,"Veuillez indiquer le nombre total de bénéficiaires effectifs des non-résidents, par nationalité principale du bénéficiaire effectif, pour les bénéficiaires effectifs détenant 25%.",
1.4,Q19,"Que vous ayez ou non de tels clients, votre entité identifie-t-elle et enregistre-t-elle le type de clients lorsqu'il s'agit de: HNWIs?","Aux fins de ce questionnaire, un particulier fortuné (HNWI) est une personne physique dont la somme de tous les comptes et actifs nets est supérieure à 5 millions d'euros."
1.4,Q20,UHNWIs?,"Aux fins de ce questionnaire, un particulier très fortuné (UHNWI) est une personne physique dont la somme de tous les comptes et actifs nets est supérieure à 50 millions d'euros."
1.4,Q21,Trusts et d'autres constructions juridiques non mentionnées ci-dessus ?,
1.4,Q22,PSAV (prestataires de services d'actifs virtuels) qui fournissent d'autres services ?,
1.5,Q23,"Veuillez fournir le nombre total de clients uniques qui sont des personnes physiques qui sont des nationaux, pour les achats, ventes et locations de propriétés.","L'achat, la vente et la location de biens immobiliers."
1.5,Q24,"Veuillez fournir le nombre total de clients uniques qui sont des personnes physiques qui sont des résidents étrangers, pour les achats, ventes et locations de propriétés.","L'achat, la vente et la location de biens immobiliers."
1.5,Q25,"Veuillez fournir le nombre total de clients uniques qui sont des personnes physiques qui ne sont pas des résidents, pour les achats, ventes et locations de propriétés.","L'achat, la vente et la location de biens immobiliers."
1.5,Q26,"Veuillez indiquer le nombre total de clients uniques qui sont des personnes physiques (individus), classés selon la nationalité principale de l'individu pour l'achat et la vente de biens immobiliers.","L'achat et la vente de biens immobiliers."
1.5,Q27,Veuillez indiquer le nombre total d'opérations effectuées par des clients qui sont des personnes physiques pour l'achat et la vente de biens immobiliers.,"L'achat et la vente de biens immobiliers."
1.5,Q28,"Veuillez indiquer la valeur totale des fonds transférés par des clients qui sont des personnes physiques, pour l'achat et la vente de biens immobiliers, en euros.","L'achat et la vente de biens immobiliers."
1.5,Q29,Veuillez indiquer le nombre total de clients uniques qui sont des personnes physiques (individus) pour la location de biens immobiliers.,
1.5,Q30,Veuillez indiquer le nombre total d'opérations effectuées par des clients qui sont des personnes physiques pour la location de biens immobiliers.,
1.5,Q31,Certains des achats immobiliers effectués pendant la période de déclaration avaient-ils pour but d'établir une résidence à Monaco ?,
1.5,Q32,Combien d'achats ont-ils été effectués dans le but d'établir une résidence à Monaco au cours de la période de déclaration ?,
1.6,Q33,"Veuillez indiquer le nombre total de clients uniques qui sont des personnes morales, ventilé selon le pays du siège ou de l'immatriculation, pour l'achat, la vente et la location de biens immobiliers.","L'achat et la vente de biens immobiliers."
1.6,Q34,Veuillez indiquer le nombre total d'opérations effectuées par des clients qui sont des personnes morales pour l'achat et la vente de biens immobiliers.,"L'achat et la vente de biens immobiliers. Précisions pour plus de clarté : Si un client achète une propriété et effectue 2 transferts pour effectuer le paiement complet, cela sera compté comme 1 transaction immobilière. l'achat de parts ou d'actions d'une société à vocation immobilière constitue autant d'opérations qu'il y a d'achats ou de vente (par ex. achat de 10 parts = 1 transaction ; un achat de 10 parts puis un autre achat de 15 parts = 2 transactions ; vente de 100% des parts d'une SCI = 1 transaction)."
1.6,Q35,Veuillez indiquer la valeur totale des fonds transférés par les clients qui sont des personnes morales pour l'achat et la vente de biens immobiliers.,"L'achat et la vente de biens immobiliers."
1.6,Q36,Votre entité distingue-t-elle si les clients sont des personnes morales monégasques et le type de personne morale ?,"Les types de personnes morales incluent: • Associations monégasques • Autres sociétés civiles • Autres sociétés commerciales • Autres arrangements juridiques • Domaine Privé de l'Etat Monégasque • Entreprise individuelle • Fondation monégasque • Groupement d'intérêt économique GIE • Société en nom collectif SNC • Société civile immobilière SCI • Société civile particulière SCP • Société en commandite simple SCS • Société à responsabilité limitée SARL • Société anonyme monégasque SAM • Société en commandite par actions SCA • Trusts"
1.6,Q37,"Veuillez indiquer le nombre de clients qui sont des personnes morales monégasques, ventilé par type.","L'achat et la vente de biens immobiliers."
1.6,Q38,"Veuillez indiquer le nombre total de clients bénéficiaires effectifs uniques de personnes morales qui sont des particuliers fortunés (HNWI), ventilés par nationalité principale du HNWI.","L'achat et la vente de biens immobiliers. L'expression « bénéficiaire effectif unique » signifie que, quand bien même un bénéficiaire effectif serait impliqué dans plusieurs propriétés, il doit être néanmoins considéré comme un seul et même bénéficiaire effectif. Aux fins de ce questionnaire, un particulier fortuné (HNWI) est une personne physique dont la somme de tous les comptes et actifs nets est supérieure à 5 millions d'euros."
1.6,Q39,"Veuillez indiquer le nombre total de clients bénéficiaires effectifs uniques de personnes morales et qui sont des particuliers très fortunés (UHNWI), ventilés par nationalité primaire de l'UHNWI.","L'achat et la vente de biens immobiliers. L'expression « bénéficiaire effectif unique » signifie que, quand bien même un bénéficiaire effectif serait impliqué dans plusieurs propriétés, il doit être néanmoins considéré comme un seul et même bénéficiaire effectif. Aux fins de ce questionnaire, un particulier très fortuné (UHNWI) est une personne physique dont la somme de tous les comptes et actifs nets est supérieure à 50 millions d'euros."
1.7,Q40,Votre entité distingue-t-elle si les clients sont des trusts ou d'autres constructions juridiques ?,
1.7,Q41,"Veuillez indiquer le nombre total de clients uniques qui sont des trusts et d'autres constructions juridiques pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.7,Q42,"Veuillez indiquer le nombre total de clients uniques monégasques qui sont des trusts et autres constructions juridiques pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.7,Q43,"Veuillez indiquer le nombre total de personnes physiques qui sont des trustees à titre professionnel, ventilé par nationalité primaire, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.7,Q44,"Veuillez indiquer le nombre total de personnes physiques qui sont des trustees à titre professionnel, ventilé par pays dans lequel le trust a été créé, pour l'achat, la vente et la location de biens immobiliers.","L'achat, la vente et la location de biens immobiliers."
1.7,Q45,Votre entité dispose-t-elle d'informations sur le nombre et la valeur de leurs opérations ?,
1.7,Q46,"Veuillez indiquer le nombre total d'opérations effectuées par des clients qui sont des trusts et d'autres constructions juridiques, pour l'achat et la vente de biens immobiliers.","L'achat et la vente de biens immobiliers."
1.7,Q47,"Veuillez indiquer la valeur totale des fonds transférés par les clients qui sont des trusts et d'autres constructions juridiques, pour l'achat et la vente de biens immobiliers.","L'achat et la vente de biens immobiliers."
1.7,Q48,Veuillez préciser le type d'autres constructions juridiques non mentionnées dans les questions précédentes que votre entité a comme clients.,
1.8,Q49,Votre entité compte-t-elle parmi ses clients des personnes politiquement exposées (PPE) ?,
1.8,Q50,"Veuillez indiquer le nombre total de clients uniques qui sont des PPE, ventilé selon le lieu de résidence des PPE (y compris les clients nationaux), pour l'achat, la vente et la location de biens immobiliers.",
1.8,Q51,"Veuillez indiquer le nombre total de clients uniques qui sont des PPE, ventilé selon la nationalité primaire de la PPE (y compris les clients nationaux), pour l'achat, la vente et la location de biens immobiliers.",
1.8,Q52,Veuillez indiquer le nombre total d'opérations effectuées par des clients qui sont des PPE pour l'achat et la vente de biens immobiliers.,"L'achat et la vente de biens immobiliers."
1.8,Q53,"Veuillez indiquer la valeur totale en euros des fonds transférés par des clients qui sont des PPE, pour l'achat et la vente de biens immobiliers.","L'achat et la vente de biens immobiliers."
1.8,Q54,"Veuillez indiquer le nombre total de clients qui sont les bénéficiaires effectifs uniques de personnes morales/trusts et autres constructions juridiques et qui sont des PPE. Veuillez les classer selon la nationalité principale de la PPE.","Pour les besoins de cette question, on entend par ""bénéficiaire effectif"" toute personne physique qui possède ou exerce un contrôle final effectif sur un client, directement ou indirectement, ou la personne physique qui exerce un contrôle final effectif sur une personne morale ou une construction juridique. L'expression « bénéficiaires effectifs uniques » signifie que, quand bien même une personne physique serait le bénéficiaire effectif de plusieurs personnes morales/constructions, elle ne doit néanmoins être considérée que comme un seul bénéficiaire effectif."
1.8,Q55,Veuillez indiquer le nombre total d'opérations (entrantes et sortantes) effectuées par des bénéficiaires effectifs de personnes morales/trusts et autres constructions juridiques qui sont des PPE.,
1.9,Q56,Votre entité a-t-elle des clients qui sont des PSAV ?,
1.9,Q57,Votre entité distingue-t-elle si des clients PSAV sont des prestataires de conservation (Custodian Wallet Providers) ?,Prestataires de conservation (Custodian Wallet Providers)
1.9,Q58,Votre entité a-t-elle des clients PSAV qui sont des prestataires de conservation (Custodian Wallet Providers) ?,Prestataires de conservation (Custodian Wallet Providers)
1.9,Q59,"Veuillez indiquer le nombre total de clients uniques PSAV qui sont des prestataires de conservation (Custodian Wallet Providers), ventilé par pays d'établissement pour l'achat, la vente et la location de biens immobiliers.","Prestataires de conservation (Custodian Wallet Providers). L'achat, la vente et la location de biens immobiliers."
1.9,Q60,"Veuillez indiquer le nombre total d'opérations effectuées par les clients PSAV qui qui sont des prestataires de conservation (Custodian Wallet Providers) pour l'achat, la vente et la location de biens immobiliers.","Prestataires de conservation (Custodian Wallet Providers). L'achat, la vente et la location de biens immobiliers."
1.9,Q61,"Veuillez indiquer la valeur totale des fonds transférés avec et par les clients PSAV qui sont des prestataires de conservation (Custodian Wallet Providers) pour l'achat, la vente et la location de biens immobiliers.","Prestataires de conservation (Custodian Wallet Providers). L'achat, la vente et la location de biens immobiliers."
1.9,Q62,Votre entité distingue-t-elle si des clients PSAV sont des fournisseurs d'échange de monnaie virtuelle ?,Fournisseurs d'échange de monnaie virtuelle
1.9,Q63,Votre entité a-t-elle des clients PSAV qui sont des fournisseurs d'échange de monnaie virtuelle ?,Fournisseurs d'échange de monnaie virtuelle
1.9,Q64,"Veuillez indiquer le nombre total de clients uniques PSAV qui sont des fournisseurs d'échange de monnaie virtuelle, ventilé par pays d'établissement, pour l'achat, la vente et la location de biens immobiliers.","Fournisseurs d'échange de monnaie virtuelle. L'achat, la vente et la location de biens immobiliers."
1.9,Q65,"Veuillez indiquer le nombre total d'opérations effectuées avec et par les clients PSAV qui sont des fournisseurs d'échange de monnaie virtuelle pour l'achat, la vente et la location de biens immobiliers.","Fournisseurs d'échange de monnaie virtuelle. L'achat, la vente et la location de biens immobiliers."
1.9,Q66,"Veuillez indiquer la valeur totale des fonds transférés avec et par les clients PSAV qui sont des fournisseurs d'échange de monnaie virtuelle pour l'achat, la vente et la location de biens immobiliers.","Fournisseurs d'échange de monnaie virtuelle. L'achat, la vente et la location de biens immobiliers."
1.9,Q67,Votre entité distingue-t-elle si des clients PSAV sont des prestataires de services liés aux ICO (offre au public de jetons) ?,ICO
1.9,Q68,Votre entité a-t-elle des clients PSAV qui sont des services liés aux ICO (offre au public de jetons) ?,ICO
1.9,Q69,"Veuillez fournir le nombre total de clients uniques PSAV qui sont des services liés aux ICO (offre au public de jetons), ventilé par pays d'établissement, pour l'achat, la vente et la location de biens immobiliers.","ICO. L'achat, la vente et la location de biens immobiliers."
1.9,Q70,"Veuillez indiquer le nombre total d'opérations effectuées par les clients PSAV qui sont des prestataires de services liés aux ICO (offre au public de jetons), pour l'achat, la vente et la location de biens immobiliers.","ICO. L'achat, la vente et la location de biens immobiliers."
1.9,Q71,"Veuillez indiquer la valeur totale des fonds transférés par les clients PSAV qui sont des prestataires de services liés aux ICO (offre au public de jetons), pour l'achat, la vente et la location de biens immobiliers.","ICO. L'achat, la vente et la location de biens immobiliers."
1.9,Q72,Votre entité distingue-t-elle si des clients PSAV fournissent d'autres services non mentionnés ci-dessus ?,VASP qui fournissent d'autres services
1.9,Q73,Votre entité a-t-elle des clients PSAV qui fournissent d'autres services ?,VASP qui fournissent d'autres services
1.9,Q74,"Veuillez indiquer le nombre total de clients uniques PSAV qui fournissent d'autres services, ventilé par pays d'établissement, pour l'achat, la vente et la location de biens immobiliers.","VASP qui fournissent d'autres services. L'achat, la vente et la location de biens immobiliers."
1.9,Q75,"Veuillez indiquer le nombre total d'opérations effectuées par les clients PSAV qui fournissent d'autres services non mentionnés ci-dessus, pour l'achat, la vente et la location de biens immobiliers.","VASP qui fournissent d'autres services. L'achat, la vente et la location de biens immobiliers."
1.9,Q76,"Veuillez indiquer la valeur totale des fonds transférés par les clients PSAV qui fournissent d'autres services, pour l'achat, la vente et la location de biens immobiliers.","VASP qui fournissent d'autres services. L'achat, la vente et la location de biens immobiliers."
1.9,Q77,Veuillez préciser quels sont les autres services fournis par les clients PSAV qui ne sont pas mentionnés ci-dessus.,VASP qui fournissent d'autres services
1.10,Q78,"Pour les clients ayant deux ou plusieurs nationalités, votre entité enregistre-t-elle toutes les nationalités du client ?",
1.10,Q79,"Veuillez fournir le nombre total de nationalités secondaires des clients uniques qui sont des personnes physiques (individus), classés selon la(les) nationalité(s) secondaire(s) du client, le cas échéant (y compris les nationaux).",
1.11,Q80,Avez-vous eu des clients monégasques (achats et ventes) au cours de la période de déclaration ?,"L'achat et la vente de biens immobiliers. Pour les personnes de nationalité monégasque."
1.11,Q81,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des avocats ou qui exercent d'autres professions juridiques.,"L'achat et la vente de biens immobiliers."
1.11,Q82,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des auditeurs/comptables.,"L'achat et la vente de biens immobiliers."
1.11,Q83,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des actionnaires/administrateurs agissant pour le compte d'une autre personne.,"L'achat et la vente de biens immobiliers."
1.11,Q84,Veuillez indiquer le nombre total de clients uniques monégasques qui sont émetteurs utilisateurs ou fournisseurs d'actions au porteur ou d'autres instruments au porteur.,"L'achat et la vente de biens immobiliers."
1.11,Q85,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des agents immobiliers.,"L'achat et la vente de biens immobiliers."
1.11,Q86,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des NMPPP.,"L'achat et la vente de biens immobiliers."
1.11,Q87,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des prestataires de services aux trusts et aux sociétés.,"L'achat et la vente de biens immobiliers."
1.11,Q88,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des Multi-Family Offices.,"L'achat et la vente de biens immobiliers."
1.11,Q89,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des Single-Family Offices.,"L'achat et la vente de biens immobiliers."
1.11,Q90,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des structures de propriété plus complexes.,"L'achat et la vente de biens immobiliers."
1.11,Q91,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans des sociétés caractérisées par une forte utilisation d'espèces.,"L'achat et la vente de biens immobiliers."
1.11,Q92,Veuillez indiquer le nombre total de clients monégasques qui fournissent ou qui acceptent des paiements à partir de cartes prépayées anonymes / cartes avec un seuil élevé de mesures de vigilance à l'égard de la clientèle.,"L'achat et la vente de biens immobiliers."
1.11,Q93,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans le marché de l'art et des antiquités.,"L'achat et la vente de biens immobiliers."
1.11,Q94,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans l'import-export.,"L'achat et la vente de biens immobiliers."
1.11,Q95,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans le commerce des biens de grande valeur.,"L'achat et la vente de biens immobiliers."
1.11,Q96,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des OBNL.,"L'achat et la vente de biens immobiliers."
1.11,Q97,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans un casino ou des jeux d'argent.,"L'achat et la vente de biens immobiliers."
1.11,Q98,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans le bâtiment ou le développement immobilier.,"L'achat et la vente de biens immobiliers."
1.11,Q99,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans les industries extractives.,"L'achat et la vente de biens immobiliers."
1.11,Q100,Prière d'indiquer le nombre total de clients uniques monégasques impliqués dans le secteur de la défense / des armes.,"L'achat et la vente de biens immobiliers."
1.11,Q101,Veuillez indiquer le nombre total de clients uniques monégasques qui exercent une activité liée à la navigation de plaisance.,"L'achat et la vente de biens immobiliers."
1.11,Q102,Prière d'indiquer le nombre total de clients uniques monégasques qui sont des agents ou des intermédiaires sportifs.,"L'achat et la vente de biens immobiliers."
1.11,Q103,Veuillez indiquer le nombre total de clients uniques monégasques impliqués dans la gestion de fonds.,"L'achat et la vente de biens immobiliers."
1.11,Q104,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des sociétés holding.,"L'achat et la vente de biens immobiliers."
1.11,Q105,Veuillez indiquer le nombre total de clients uniques monégasques qui sont commissaires-priseurs.,"L'achat et la vente de biens immobiliers."
1.11,Q106,Veuillez indiquer le nombre total de clients uniques monégasques qui sont des concessionnaires de véhicules automobiles.,"L'achat et la vente de biens immobiliers."
1.11,Q107,Veuillez indiquer le nombre total de clients uniques monégasques qui relèvent du gouvernement et du secteur public.,"L'achat et la vente de biens immobiliers."
1.11,Q108,Veuillez indiquer le nombre total de clients uniques monégasques qui sont impliqués dans la vente d'avions ou l'affrètement de jets privés.,"L'achat et la vente de biens immobiliers."
1.11,Q109,Veuillez indiquer le nombre total de clients uniques monégasques qui sont impliqués dans le transport.,"L'achat et la vente de biens immobiliers."
1.12,Q110,Avez-vous des commentaires sur l'une des questions de cette section ?,
1.12,Q111,Prière de partager vos retours et vos commentaires au sujet de cette section.,
2.1,Q112,Votre entité accepte-t-elle ou effectue-t-elle des opérations par chèque avec les clients ?,"Les paiements avec des clients sont d'opérations entre l'entité déclarante et ses clients pour des produits ou services proposés par l'entité."
2.1,Q113,Votre entité a-t-elle accepté ou effectué des opérations par chèque avec les clients au cours de la période de déclaration ?,
2.1,Q114,Prière d'indiquer le nombre total d'opérations effectuées par chèque (tant entrantes que sortantes) avec des clients ?,"L'achat, la vente et la location de biens immobiliers."
2.1,Q115,Veuillez indiquer la valeur totale des opérations par chèques effectuées avec des clients (entrantes et sortants) au cours de la période de déclaration.,"L'achat, la vente et la location de biens immobiliers."
2.2,Q116,"D'après votre connaissance des contrats émis pour l'achat, la vente et la location, vos clients ont-ils accepté ou effectué des opérations par chèque au cours de la période de déclaration ?","Les paiements par les clients sont d'opérations initiées et effectuées par le client. Par exemple, un client paie son loyer au moyen d'un chèque."
2.2,Q117,Prière d'indiquer le nombre total d'opérations effectuées par chèque (tant entrantes que sortantes) par des clients ?,"L'achat, la vente et la location de biens immobiliers."
2.2,Q118,Veuillez indiquer la valeur totale des opérations par chèques effectuées par des clients (entrantes et sortants) au cours de la période de déclaration.,"L'achat, la vente et la location de biens immobiliers."
2.3,Q119,Votre entité accepte-t-elle ou effectue-t-elle des transferts électroniques d'argent avec les clients ?,"Les paiements avec des clients sont d'opérations entre l'entité déclarante et ses clients pour des produits ou services proposés par l'entité. Les transferts électroniques incluent les paiements provenant d'une forme électronique, tels que les virements électroniques, prestataire de service de paiement (PSP) (Pay Pal), les cartes de débit, les cartes de crédit, les paiements en monnaie virtuelle, etc."
2.3,Q120,Votre entité a-t-elle accepté ou effectué des transferts électroniques avec les clients au cours de la période de déclaration ?,
2.3,Q121,Prière d'indiquer le nombre total d'opérations (tant entrantes que sortantes) effectuées sous forme d'ordre de paiement électronique avec des clients.,"L'achat, la vente et la location de biens immobiliers."
2.3,Q122,Veuillez indiquer la valeur totale des transferts électroniques effectués avec des clients (entrants et sortants) au cours de la période de déclaration.,"L'achat, la vente et la location de biens immobiliers. Les transferts électroniques incluent les paiements provenant d'une forme électronique, tels que les virements électroniques, prestataire de service de paiement (PSP) (Pay Pal), les cartes de débit, les cartes de crédit, les paiements en monnaie virtuelle, etc."
2.4,Q123,"D'après votre connaissance des contrats émis pour l'achat, la vente et la location, vos clients ont-ils accepté ou effectué des virements électroniques au cours de la période de déclaration ?","Les paiements par les clients sont d'opérations initiées et effectuées par le client. Par exemple, un client effectue un virement bancaire vers un vendeur. Les transferts électroniques incluent les paiements provenant d'une forme électronique, tels que les virements électroniques, prestataire de service de paiement (PSP) (Pay Pal), les cartes de débit, les cartes de crédit, les paiements en monnaie virtuelle, etc."
2.4,Q124,Prière d'indiquer le nombre total d'opérations (tant entrantes que sortantes) effectuées sous forme d'ordre de paiement électronique par/ à l'intention du client.,"L'achat, la vente et la location de biens immobiliers."
2.4,Q125,Veuillez indiquer la valeur totale des transferts électroniques effectués par des clients (entrants et sortants) au cours de la période de déclaration.,"L'achat, la vente et la location de biens immobiliers. Les transferts électroniques incluent les paiements provenant d'une forme électronique, tels que les virements électroniques, prestataire de service de paiement (PSP) (Pay Pal), les cartes de débit, les cartes de crédit, les paiements en monnaie virtuelle, etc."
2.5,Q126,Votre entité accepte-t-elle ou effectue-t-elle des opérations en espèces avec les clients ?,"Les paiements avec des clients sont d'opérations entre l'entité déclarante et ses clients pour des produits ou services proposés par l'entité."
2.5,Q127,Votre entité a-t-elle accepté ou effectué des opérations en espèces avec les clients au cours de la période de déclaration ?,
2.5,Q128,"Veuillez fournir le nombre total d'opérations en espèces avec les clients, au cours de la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q129,"Veuillez indiquer la valeur totale des fonds transférés, par paiements en espèces, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q130,"Veuillez indiquer la valeur totale des fonds transférés avec des clients, par paiements en espèces dans des devises autres que l'euro, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q131,"Prière d'indiquer le nombre total d'opérations effectuées en espèces (tant entrantes que sortantes) pour un montant supérieur ou égal à 10 000 euros avec des clients, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q132,Votre entité peut-elle distinguer les opérations en espèces supérieures à 100 000 euros dans votre comptabilité ?,"L'achat, la vente et la location de biens immobiliers."
2.5,Q133,"Nombre d'opérations physiques en espèces effectuées avec des personnes physiques pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q134,"Nombre d'opérations physiques en espèces effectuées avec des personnes morales monégasques pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.5,Q135,"Nombre d'opérations physiques en espèces effectuées avec des personnes morales étrangères pour un montant supérieur à 100 000 euros, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q136,"D'après votre connaissance des contrats émis pour l'achat, la vente et la location, vos clients ont-ils accepté ou effectué des opérations en espèces au cours de la période de déclaration ?","Les paiements par les clients sont d'opérations initiées et effectuées par le client. Par exemple, un client paie son loyer en espèces."
2.6,Q137,"Veuillez fournir le nombre total d'opérations en espèces par des clients, au cours de la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q138,"Veuillez indiquer la valeur totale des fonds transférés, par paiements en espèces, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
2.6,Q139,"Veuillez indiquer la valeur totale des fonds transférés par des clients, par paiements en espèces dans des devises autres que l'euro, pendant la période de déclaration.","L'achat, la vente et la location de biens immobiliers."
